22080,22081,0,9.1564
22081,22082,1,9.1564
22082,22083,3,7.48775
22083,22283,4,7.90272
22082,22282,4,7.90272
22081,22281,4,8.00081
22080,22280,4,8.00081
22283,22483,5,10.0765
22282,22482,5,10.0765
22281,22481,5,10.0765
22280,22480,5,10.0765
22480,22479,7,4.61341
22280,22279,7,4.61341
22080,22279,7,2.14801
22080,22079,7,4.61341
22482,22681,8,2.14986
22481,22680,8,2.14986
22480,22679,8,2.14986
22483,22682,8,2.14986
22679,22678,9,7.51064
22079,22078,9,8.05659
22279,22278,9,8.05659
22479,22478,9,8.05659
22678,22677,10,5.1682
22078,22077,10,5.72715
22278,22277,10,5.72715
22478,22477,10,5.72715
22677,22676,12,3.04793
22277,22276,12,3.24245
22477,22476,12,3.24245
22679,22878,12,2.56962
22077,22076,12,3.24245
22676,22475,13,7.36875
22676,22875,13,9.53642
22676,22675,13,22.5407
22878,22877,13,9.24489
22678,22877,13,1.50339
22681,22880,13,1.44174
22680,22879,13,1.44174
22476,22275,13,7.57365
22476,22675,13,9.27763
22476,22475,13,22.6777
22076,22075,13,9.83684
22276,22275,13,9.83684
22682,22881,13,1.44174
22080,21879,14,0.751194
22080,21881,14,0.278364
22082,21881,14,0.781777
22081,21880,14,0.751194
22677,22876,14,4.26922
22676,22876,14,8.27333
22682,22882,15,3.08678
22283,22484,15,4.07414
22083,21882,15,0.276726
22083,22284,15,4.20891
22483,22683,15,2.9808
22683,22883,16,16.5917
22683,22884,16,13.1749
22683,22684,16,5.33373
21879,21679,16,2.44098
21879,21680,16,3.1081
21879,21878,16,3.47679
22876,23076,16,4.86426
22875,23075,16,4.7195
22682,22883,16,2.47174
22483,22684,16,2.5239
22881,23081,16,4.7195
22880,23080,16,4.86426
22878,23078,16,4.86426
22878,23077,16,0.757608
22879,23079,16,4.86426
22877,23077,16,4.86426
23076,23276,17,5.91802
23075,23275,17,5.91802
23077,23277,17,5.91802
22882,23082,17,5.81787
21879,21678,17,2.88686
22884,23084,17,5.91802
22883,23083,17,5.81787
22875,23074,17,2.07056
21679,21678,17,5.04173
23079,23279,17,5.91802
23080,23280,17,5.91802
22275,22474,17,2.09377
23081,23281,17,5.91802
21878,21877,17,5.04173
22881,23082,17,0.824328
22475,22674,17,2.09377
22675,22874,17,2.07056
23078,23278,17,5.91802
22075,22274,17,2.09377
23083,23282,18,8.91366
22474,22673,18,8.21307
23276,23475,18,8.91366
21678,21677,18,10.6252
22674,22873,18,8.21307
23275,23474,18,8.91366
23279,23478,18,8.55148
23084,23283,18,8.91366
21877,21876,18,10.6252
23281,23480,18,8.91366
22274,22473,18,8.21307
23277,23476,18,8.55148
23075,23274,18,8.91366
22684,22885,18,3.13267
22684,22685,18,2.06624
23074,23273,18,8.55148
22874,23073,18,21.4303
22874,22873,18,10.1499
